task,arm,joint,fault_type,sampling_mode,seed,worker,success
grab_roller,left,fl_joint4,locked,posthoc,100002,0,False
grab_roller,left,fl_joint4,locked,posthoc,100003,0,False
grab_roller,left,fl_joint4,locked,posthoc,100004,0,False
grab_roller,left,fl_joint4,locked,posthoc,100006,0,False
grab_roller,left,fl_joint4,locked,posthoc,100007,0,False
grab_roller,left,fl_joint4,locked,posthoc,100008,0,False
grab_roller,left,fl_joint4,locked,posthoc,100009,0,False
grab_roller,left,fl_joint4,locked,posthoc,100010,0,False
grab_roller,left,fl_joint4,locked,posthoc,100011,0,False
grab_roller,left,fl_joint4,locked,posthoc,100012,0,False
grab_roller,left,fl_joint4,locked,posthoc,100013,0,False
grab_roller,left,fl_joint4,locked,posthoc,100014,0,False
grab_roller,left,fl_joint4,locked,posthoc,100015,0,False
grab_roller,left,fl_joint4,locked,posthoc,100016,0,False
grab_roller,left,fl_joint4,locked,posthoc,100017,0,False
grab_roller,left,fl_joint4,locked,posthoc,100018,0,False
grab_roller,left,fl_joint4,locked,posthoc,100019,0,False
grab_roller,left,fl_joint4,locked,posthoc,100020,0,False
grab_roller,left,fl_joint4,locked,posthoc,100021,0,False
grab_roller,left,fl_joint4,locked,posthoc,100022,0,False
grab_roller,left,fl_joint4,locked,posthoc,100024,0,False
grab_roller,left,fl_joint4,locked,posthoc,100025,0,False
grab_roller,left,fl_joint4,locked,posthoc,100026,0,False
grab_roller,left,fl_joint4,locked,posthoc,100027,0,False
grab_roller,left,fl_joint4,locked,posthoc,100028,0,False
grab_roller,left,fl_joint4,locked,posthoc,100029,0,False
grab_roller,left,fl_joint4,locked,posthoc,100030,0,False
grab_roller,left,fl_joint4,locked,posthoc,100031,0,False
grab_roller,left,fl_joint4,locked,posthoc,100032,0,False
grab_roller,left,fl_joint4,locked,posthoc,100033,0,False
grab_roller,left,fl_joint4,locked,posthoc,100034,0,False
grab_roller,left,fl_joint4,locked,posthoc,100035,0,False
grab_roller,left,fl_joint4,locked,posthoc,100038,0,False
grab_roller,left,fl_joint4,locked,posthoc,100039,0,False
grab_roller,left,fl_joint4,locked,posthoc,100040,0,False
grab_roller,left,fl_joint4,locked,posthoc,100041,0,False
grab_roller,left,fl_joint4,locked,posthoc,100042,0,False
grab_roller,left,fl_joint4,locked,posthoc,100043,0,False
grab_roller,left,fl_joint4,locked,posthoc,100044,0,False
grab_roller,left,fl_joint4,locked,posthoc,100045,0,False
grab_roller,left,fl_joint4,locked,posthoc,100046,0,False
grab_roller,left,fl_joint4,locked,posthoc,100047,0,False
grab_roller,left,fl_joint4,locked,posthoc,100048,0,False
grab_roller,left,fl_joint4,locked,posthoc,100049,0,False
grab_roller,left,fl_joint4,locked,posthoc,100050,0,False
grab_roller,left,fl_joint4,locked,posthoc,100051,0,False
grab_roller,left,fl_joint4,locked,posthoc,100052,0,False
grab_roller,left,fl_joint4,locked,posthoc,100053,0,False
grab_roller,left,fl_joint4,locked,eci,100000,0,False
grab_roller,left,fl_joint4,locked,eci,100001,0,False
grab_roller,left,fl_joint4,locked,eci,100002,0,False
grab_roller,left,fl_joint4,locked,eci,100003,0,False
grab_roller,left,fl_joint4,locked,eci,100004,0,False
grab_roller,left,fl_joint4,locked,eci,100006,0,False
grab_roller,left,fl_joint4,locked,eci,100007,0,False
grab_roller,left,fl_joint4,locked,eci,100008,0,False
grab_roller,left,fl_joint4,locked,eci,100009,0,False
grab_roller,left,fl_joint4,locked,eci,100010,0,False
grab_roller,left,fl_joint4,locked,eci,100011,0,False
grab_roller,left,fl_joint4,locked,eci,100012,0,False
grab_roller,left,fl_joint4,locked,eci,100013,0,False
grab_roller,left,fl_joint4,locked,eci,100014,0,False
grab_roller,left,fl_joint4,locked,eci,100015,0,False
grab_roller,left,fl_joint4,locked,eci,100016,0,False
