task,arm,joint,fault_type,sampling_mode,seed,worker,success
grab_roller,right,fr_joint3,locked,posthoc,100028,1,False
grab_roller,right,fr_joint3,locked,posthoc,100031,0,False
grab_roller,right,fr_joint3,locked,posthoc,100033,0,True
grab_roller,right,fr_joint3,locked,posthoc,100034,0,True
grab_roller,right,fr_joint3,locked,posthoc,100032,1,False
grab_roller,right,fr_joint3,locked,posthoc,100038,1,True
grab_roller,right,fr_joint3,locked,posthoc,100035,0,False
grab_roller,right,fr_joint3,locked,posthoc,100039,1,False
grab_roller,right,fr_joint3,locked,posthoc,100040,0,False
grab_roller,right,fr_joint3,locked,posthoc,100041,1,False
grab_roller,right,fr_joint3,locked,posthoc,100043,1,True
grab_roller,right,fr_joint3,locked,posthoc,100042,0,False
grab_roller,right,fr_joint3,locked,posthoc,100045,0,True
grab_roller,right,fr_joint3,locked,posthoc,100044,1,False
grab_roller,right,fr_joint3,locked,posthoc,100046,0,False
grab_roller,right,fr_joint3,locked,posthoc,100047,1,False
grab_roller,right,fr_joint3,locked,posthoc,100049,1,True
grab_roller,right,fr_joint3,locked,posthoc,100048,0,False
grab_roller,right,fr_joint3,locked,posthoc,100050,1,False
grab_roller,right,fr_joint3,locked,posthoc,100051,0,False
grab_roller,right,fr_joint3,locked,posthoc,100052,1,False
grab_roller,right,fr_joint3,locked,posthoc,100053,0,False
grab_roller,right,fr_joint3,locked,eci,100001,0,False
grab_roller,right,fr_joint3,locked,eci,100000,1,False
grab_roller,right,fr_joint3,locked,eci,100002,0,True
grab_roller,right,fr_joint3,locked,eci,100003,1,False
grab_roller,right,fr_joint3,locked,eci,100004,0,False
grab_roller,right,fr_joint3,locked,eci,100006,1,False
grab_roller,right,fr_joint3,locked,eci,100007,0,False
grab_roller,right,fr_joint3,locked,eci,100008,1,False
grab_roller,right,fr_joint3,locked,eci,100009,0,False
grab_roller,right,fr_joint3,locked,eci,100010,1,True
grab_roller,right,fr_joint3,locked,eci,100011,0,False
grab_roller,right,fr_joint3,locked,eci,100012,1,False
grab_roller,right,fr_joint3,locked,eci,100013,0,True
grab_roller,right,fr_joint3,locked,eci,100014,1,False
grab_roller,right,fr_joint3,locked,eci,100015,0,False
grab_roller,right,fr_joint3,locked,eci,100016,1,False
grab_roller,right,fr_joint3,locked,eci,100017,0,True
grab_roller,right,fr_joint3,locked,eci,100018,1,False
grab_roller,right,fr_joint3,locked,eci,100019,0,False
grab_roller,right,fr_joint3,locked,eci,100021,0,True
grab_roller,right,fr_joint3,locked,eci,100020,1,True
grab_roller,right,fr_joint3,locked,eci,100022,0,False
grab_roller,right,fr_joint3,locked,eci,100024,1,False
grab_roller,right,fr_joint3,locked,eci,100025,0,False
grab_roller,right,fr_joint3,locked,eci,100026,1,False
grab_roller,right,fr_joint3,locked,eci,100027,0,False
grab_roller,right,fr_joint3,locked,eci,100028,1,False
grab_roller,right,fr_joint3,locked,eci,100029,0,True
grab_roller,right,fr_joint3,locked,eci,100030,1,False
grab_roller,right,fr_joint3,locked,eci,100031,0,False
grab_roller,right,fr_joint3,locked,eci,100032,1,False
grab_roller,right,fr_joint3,locked,eci,100033,0,False
grab_roller,right,fr_joint3,locked,eci,100034,1,False
grab_roller,right,fr_joint3,locked,eci,100035,0,False
grab_roller,right,fr_joint3,locked,eci,100038,1,False
grab_roller,right,fr_joint3,locked,eci,100039,0,False
grab_roller,right,fr_joint3,locked,eci,100040,1,False
grab_roller,right,fr_joint3,locked,eci,100041,0,False
grab_roller,right,fr_joint3,locked,eci,100042,1,False
grab_roller,right,fr_joint3,locked,eci,100043,0,False
grab_roller,right,fr_joint3,locked,eci,100044,1,False
grab_roller,right,fr_joint3,locked,eci,100045,0,False
grab_roller,right,fr_joint3,locked,eci,100046,1,False
grab_roller,right,fr_joint3,locked,eci,100047,0,False
grab_roller,right,fr_joint3,locked,eci,100048,1,False
grab_roller,right,fr_joint3,locked,eci,100049,0,False
grab_roller,right,fr_joint3,locked,eci,100051,0,True
grab_roller,right,fr_joint3,locked,eci,100050,1,True
grab_roller,right,fr_joint3,locked,eci,100052,0,False
grab_roller,right,fr_joint3,locked,eci,100053,1,False
grab_roller,left,fl_joint5,locked,b1,100001,0,True
grab_roller,left,fl_joint5,locked,b1,100000,1,False
grab_roller,left,fl_joint5,locked,b1,100002,0,False
grab_roller,left,fl_joint5,locked,b1,100003,1,True
grab_roller,left,fl_joint5,locked,b1,100004,0,True
grab_roller,left,fl_joint5,locked,b1,100007,0,True
grab_roller,left,fl_joint5,locked,b1,100006,1,True
grab_roller,left,fl_joint5,locked,b1,100009,1,True
grab_roller,left,fl_joint5,locked,b1,100008,0,True
grab_roller,left,fl_joint5,locked,b1,100010,1,True
grab_roller,left,fl_joint5,locked,b1,100011,0,False
grab_roller,left,fl_joint5,locked,b1,100012,1,False
grab_roller,left,fl_joint5,locked,b1,100013,0,True
grab_roller,left,fl_joint5,locked,b1,100014,1,True
grab_roller,left,fl_joint5,locked,b1,100015,1,True
grab_roller,left,fl_joint5,locked,b1,100017,1,True
grab_roller,left,fl_joint5,locked,b1,100018,1,True
grab_roller,left,fl_joint5,locked,b1,100016,0,True
grab_roller,left,fl_joint5,locked,b1,100020,0,True
grab_roller,left,fl_joint5,locked,b1,100019,1,True
grab_roller,left,fl_joint5,locked,b1,100022,1,True
grab_roller,left,fl_joint5,locked,b1,100024,1,True
grab_roller,left,fl_joint5,locked,b1,100021,0,False
grab_roller,left,fl_joint5,locked,b1,100026,0,True
grab_roller,left,fl_joint5,locked,b1,100027,0,True
grab_roller,left,fl_joint5,locked,b1,100025,1,False
grab_roller,left,fl_joint5,locked,b1,100029,1,True
grab_roller,left,fl_joint5,locked,b1,100030,1,True
grab_roller,left,fl_joint5,locked,b1,100031,1,True
grab_roller,left,fl_joint5,locked,b1,100032,1,True
grab_roller,left,fl_joint5,locked,b1,100028,0,False
grab_roller,left,fl_joint5,locked,b1,100034,0,True
grab_roller,left,fl_joint5,locked,b1,100033,1,True
grab_roller,left,fl_joint5,locked,b1,100038,1,True
grab_roller,left,fl_joint5,locked,b1,100035,0,True
grab_roller,left,fl_joint5,locked,b1,100040,0,True
grab_roller,left,fl_joint5,locked,b1,100041,0,True
grab_roller,left,fl_joint5,locked,b1,100039,1,True
grab_roller,left,fl_joint5,locked,b1,100043,1,True
grab_roller,left,fl_joint5,locked,b1,100044,1,True
grab_roller,left,fl_joint5,locked,b1,100045,1,True
grab_roller,left,fl_joint5,locked,b1,100042,0,False
grab_roller,left,fl_joint5,locked,b1,100047,0,True
grab_roller,left,fl_joint5,locked,b1,100046,1,True
grab_roller,left,fl_joint5,locked,b1,100049,1,True
grab_roller,left,fl_joint5,locked,b1,100048,0,False
grab_roller,left,fl_joint5,locked,b1,100051,0,True
grab_roller,left,fl_joint5,locked,b1,100052,0,True
grab_roller,left,fl_joint5,locked,b1,100050,1,False
grab_roller,left,fl_joint5,locked,b1,100053,0,True
grab_roller,left,fl_joint5,locked,posthoc,100001,1,True
grab_roller,left,fl_joint5,locked,posthoc,100000,0,False
grab_roller,left,fl_joint5,locked,posthoc,100002,1,False
grab_roller,left,fl_joint5,locked,posthoc,100003,0,True
grab_roller,left,fl_joint5,locked,posthoc,100004,1,True
grab_roller,left,fl_joint5,locked,posthoc,100007,1,True
grab_roller,left,fl_joint5,locked,posthoc,100006,0,True
grab_roller,left,fl_joint5,locked,posthoc,100008,1,False
grab_roller,left,fl_joint5,locked,posthoc,100009,0,False
grab_roller,left,fl_joint5,locked,posthoc,100011,0,True
grab_roller,left,fl_joint5,locked,posthoc,100010,1,True
grab_roller,left,fl_joint5,locked,posthoc,100012,0,True
grab_roller,left,fl_joint5,locked,posthoc,100013,1,True
grab_roller,left,fl_joint5,locked,posthoc,100014,0,True
grab_roller,left,fl_joint5,locked,posthoc,100015,1,True
grab_roller,left,fl_joint5,locked,posthoc,100016,0,False
grab_roller,left,fl_joint5,locked,posthoc,100017,1,False
grab_roller,left,fl_joint5,locked,posthoc,100018,0,True
grab_roller,left,fl_joint5,locked,posthoc,100020,0,True
grab_roller,left,fl_joint5,locked,posthoc,100019,1,True
grab_roller,left,fl_joint5,locked,posthoc,100021,0,True
grab_roller,left,fl_joint5,locked,posthoc,100024,0,True
grab_roller,left,fl_joint5,locked,posthoc,100022,1,True
grab_roller,left,fl_joint5,locked,posthoc,100026,1,True
grab_roller,left,fl_joint5,locked,posthoc,100027,1,True
grab_roller,left,fl_joint5,locked,posthoc,100025,0,False
grab_roller,left,fl_joint5,locked,posthoc,100028,1,False
grab_roller,left,fl_joint5,locked,posthoc,100030,1,True
grab_roller,left,fl_joint5,locked,posthoc,100029,0,True
grab_roller,left,fl_joint5,locked,posthoc,100032,0,True
grab_roller,left,fl_joint5,locked,posthoc,100033,0,True
grab_roller,left,fl_joint5,locked,posthoc,100034,0,True
grab_roller,left,fl_joint5,locked,posthoc,100031,1,False
grab_roller,left,fl_joint5,locked,posthoc,100035,0,True
grab_roller,left,fl_joint5,locked,posthoc,100038,1,True
grab_roller,left,fl_joint5,locked,posthoc,100040,1,True
grab_roller,left,fl_joint5,locked,posthoc,100039,0,False
grab_roller,left,fl_joint5,locked,posthoc,100042,0,True
grab_roller,left,fl_joint5,locked,posthoc,100041,1,True
grab_roller,left,fl_joint5,locked,posthoc,100043,0,False
grab_roller,left,fl_joint5,locked,posthoc,100044,1,False
grab_roller,left,fl_joint5,locked,posthoc,100045,0,True
grab_roller,left,fl_joint5,locked,posthoc,100047,0,True
grab_roller,left,fl_joint5,locked,posthoc,100048,0,True
grab_roller,left,fl_joint5,locked,posthoc,100046,1,True
grab_roller,left,fl_joint5,locked,posthoc,100049,0,True
grab_roller,left,fl_joint5,locked,posthoc,100050,1,False
grab_roller,left,fl_joint5,locked,posthoc,100052,1,True
grab_roller,left,fl_joint5,locked,posthoc,100051,0,False
grab_roller,left,fl_joint5,locked,posthoc,100054,0,True
grab_roller,left,fl_joint5,locked,eci,100001,1,True
grab_roller,left,fl_joint5,locked,eci,100002,1,True
grab_roller,left,fl_joint5,locked,eci,100000,0,True
grab_roller,left,fl_joint5,locked,eci,100004,0,True
grab_roller,left,fl_joint5,locked,eci,100006,0,True
grab_roller,left,fl_joint5,locked,eci,100003,1,True
grab_roller,left,fl_joint5,locked,eci,100007,0,True
grab_roller,left,fl_joint5,locked,eci,100009,0,True
grab_roller,left,fl_joint5,locked,eci,100008,1,True
grab_roller,left,fl_joint5,locked,eci,100010,0,True
grab_roller,left,fl_joint5,locked,eci,100011,1,True
grab_roller,left,fl_joint5,locked,eci,100012,0,True
